name,category,description,example_prompt,effort,loader_feasibility,priority,source,usefulness,score_composite,rationale,demand_source,demand_evidence,score_browser_local,score_audience,score_composability,score_demand,feasibility_verified,feasibility_note
pdf-split,utility,Extracts or splits out specific pages from a PDF.,Extract pages 2 to 5 from this PDF,M,plain Rust→WASM (lopdf) page-tree editing.,4,v2,,4.0,Splitting PDFs locally keeps potentially sensitive documents off third-party servers.,awesome,npm=0;wiki=0;stack=0;github=0,5,4,4,3,unknown,no crate/model referenced
remove-image-background,image,"Removes the background from a photo, leaving a transparent cutout.",Remove the background from this product photo,L,onnx-runtime runs an RMBG/U2Net segmentation model client-side via WASM/WebGPU.,4,v2,,4.0,Background removal is one of the highest-demand Graphics tools and usually paywalled.,awesome,npm=0;wiki=0;stack=0;github=3919,5,4,4,3,no,not found: RMBG/U2Net
text-to-image-generate,image,Generates an image from a text prompt using an on-device diffusion model.,Generate an image of a fox in a spacesuit,L,onnx-runtime runs a small Stable-Diffusion/Turbo model via WebGPU entirely in the browser.,4,v2,,4.0,"Local, private text-to-image is a flagship capability that needs no API key or server cost.",cyberchef,npm=0;wiki=0;stack=0;github=4585,5,4,4,3,unknown,no crate/model referenced
text-translate,text,Translates text between languages offline.,Translate this paragraph into Spanish,M,"transformers-js runs a small NLLB/Marian translation model in-browser, no API.",4,v2,,4.0,Private offline translation is a flagship Study/Communication demand for an AI chat app.,awesome,npm=0;wiki=0;stack=0;github=0,5,5,4,2,unknown,no crate/model referenced
url-cleaner,web,"Strips tracking parameters (utm_*, fbclid, gclid, etc.) from a URL to produce a clean shareable link.",Remove the tracking junk from this URL: <long url>,S,plain Rust→WASM URL parsing and query filtering; deterministic and offline.,4,v2,,4.0,"The browser-local, privacy-positive slice of the Bitly/Dub link-management demand.",awesome,npm=11;wiki=0;stack=0;github=316,3,4,5,4,unknown,no crate/model referenced
video-crop,video,Crops a video to a region or aspect ratio.,Crop this video to a square for Instagram,M,ffmpeg crop filter applies the region locally.,4,both,3,4.0,Aspect-ratio cropping for social platforms is a frequent edit and fully local.,awesome,npm=80;wiki=0;stack=0;github=1385,5,3,4,4,unknown,no crate/model referenced
add-audio-to-video,video,Adds or replaces the audio track of a video with an uploaded audio file.,put this song over my video,M,ffmpeg loader muxes a new audio stream onto the video locally.,3.75,v2,,3.75,Adding background music to clips is a core editing task.,omni-tools,npm=0;wiki=0;stack=0;github=431,4,3,4,4,unknown,no crate/model referenced
add-text-to-image,image,"Overlays custom text (caption, watermark or meme) onto an image with position, font size and colour.",Add the caption 'SOLD' across the bottom of this photo,M,plain Rust→WASM rasterizes glyphs with ab_glyph and composites onto the image in-memory.,3.75,v2,,3.75,"Memes, watermarks and labelled screenshots are extremely common and need no design tool.",cyberchef,npm=59;wiki=0;stack=0;github=1944,4,4,4,3,unknown,no crate/model referenced
base64-file-converter,dev,Converts an uploaded file to a Base64 data string and decodes a Base64 blob back into a downloadable file.,convert this image to a base64 data URI,S,plain Rust→WASM — operates on the raw byte buffer handed in by the media-I/O page bridge; encoding is pure computation with no server round-trip.,3.75,v2,,3.75,Embedding small assets as data URIs and decoding pasted blobs are everyday tasks that should never need a remote server for privacy.,awesome,npm=22;wiki=0;stack=0;github=59,4,3,4,4,unknown,no crate/model referenced
change-speed,video,"Speeds up or slows down a video or audio file by a chosen factor, keeping audio in sync.",make this video play at 2x speed,M,ffmpeg loader uses setpts/atempo filters in the WASM build; all transcoding happens locally,3.75,v2,,3.75,Directly harvested change-speed demand; a frequent need for timelapses and condensed clips.,omni-tools,npm=0;wiki=0;stack=0;github=2666,5,3,3,4,unknown,no crate/model referenced
convert-image-format,image,"Converts an image between PNG, JPEG, WebP, BMP, GIF and TIFF with optional quality control.",Convert this PNG to a JPEG,M,plain Rust→WASM image crate decodes and re-encodes locally.,3.75,v2,,3.75,Format conversion for compatibility and file size is one of the most-searched image tasks.,cyberchef,npm=0;wiki=0;stack=0;github=5082,4,4,4,3,yes,found crate:image
csv-to-json,data,Parses CSV (with header detection and delimiter options) into an array of JSON objects.,convert this CSV to JSON,M,"plain Rust→WASM via the csv + serde_json crates — pure parsing, no server",3.75,both,4,3.75,CSV→JSON is one of the highest-demand data conversions and benefits hugely from staying off any upload-based service.,cyberchef,npm=1062;wiki=0;stack=0;github=0,4,4,5,2,unknown,no crate/model referenced
docx-to-markdown,text,Extracts a Word .docx document into clean Markdown.,Convert this Word doc to markdown,M,pyodide sandbox running python-docx fully in-browser.,3.75,both,4,3.75,Covers the document-conversion side of Cloud Convert for editor workflows.,awesome,npm=185;wiki=0;stack=0;github=858,4,3,4,4,unknown,no crate/model referenced
encrypt-file,utility,"Encrypts a file with a passphrase using AES-256-GCM, producing a portable encrypted blob.",Encrypt this file with a password before I send it,S,plain Rust→WASM — aes-gcm and a KDF run in pure Rust with no server ever seeing the data.,3.75,v2,,3.75,Firefox Send's appeal was client-side-encrypted sharing; doing the encryption locally delivers that guarantee directly.,awesome,npm=27;wiki=0;stack=0;github=16228,5,3,3,4,unknown,no crate/model referenced
gif-to-mp4,video,Converts an animated GIF into a much smaller MP4/WebM video while preserving the loop.,convert this gif to mp4,M,ffmpeg loader re-encodes GIF frames to H.264/VP9 locally.,3.75,v2,,3.75,GIFs are huge; an MP4 is often 10x smaller for the same animation.,omni-tools,npm=0;wiki=0;stack=0;github=623,4,3,4,4,unknown,no crate/model referenced
html-to-markdown,web,"Converts an HTML fragment or page body into clean Markdown, preserving headings, links, lists, and code blocks.",turn this html into markdown,M,"plain Rust→WASM — pure-Rust HTML parsing mapped to Markdown emission, fully offline",3.75,both,4,3.75,"Markdown is the lingua franca for docs and chat, so HTML-to-Markdown is a high-value conversion done locally.",cyberchef,npm=18024;wiki=0;stack=0;github=8035,3,3,5,4,unknown,no crate/model referenced
html-to-text,web,"Strips HTML markup to clean, readable plain text while preserving paragraph and list structure.",convert this html to plain text,M,plain Rust→WASM — the `html2text` crate parses and renders without a browser DOM or network,3.75,both,3,3.75,"Extracting readable text from HTML is a frequent preprocessing step for notes, scraping, and LLM input.",cyberchef,npm=45917031;wiki=0;stack=0;github=9993,3,3,5,4,unknown,no crate/model referenced
image-auto-tagger,image,Auto-labels an image with object/scene tags from a vision classifier.,What's in this photo? Tag it,M,onnx-runtime web runs a MobileNet/ResNet ImageNet model entirely on-device via WASM/WebGPU.,3.75,v2,,3.75,Local image labeling powers search/organization without sending personal photos to a cloud API.,cyberchef,npm=0;wiki=0;stack=0;github=230,5,3,4,3,unknown,no crate/model referenced
image-watermark,image,Overlays text or a logo watermark at a chosen position and opacity.,Add a semi-transparent '© 2026 Me' watermark to the bottom-right,M,plain Rust→WASM; compose layers and rasterize text with `ab_glyph` + a bundled font.,3.75,both,3,3.75,Watermarking is a recurring BeFunky/Pixlr task and fully expressible as local pixel compositing.,awesome,npm=2868;wiki=0;stack=0;github=5446,4,3,4,4,unknown,no crate/model referenced
images-to-pdf,utility,"Combines a set of images into a single PDF, one image per page.",Make a PDF from these scanned photos,S,plain Rust→WASM — printpdf/lopdf embed images and emit the PDF locally.,3.75,both,4,3.75,JPG/PNG-to-PDF is among the top Online Convert queries and is straightforward to keep on-device.,awesome,npm=3429;wiki=0;stack=0;github=10371,4,4,3,4,unknown,no crate/model referenced
jpg-to-png,image,Converts JPG images to lossless PNG.,convert this jpg to png,S,ffmpeg (wasm): JPEG decode + PNG encode run fully in-browser.,3.75,v2,,3.75,"Needed whenever a lossless or editing-friendly format is required, the natural inverse of image-to-jpg.",omni-tools,npm=0;wiki=0;stack=0;github=3867,4,3,4,4,unknown,no crate/model referenced
line-series-chart,data,Renders a line/time-series chart from one or more numeric series as an SVG or PNG.,Chart these monthly sales numbers as a line graph,M,plain Rust→WASM (plotters SVG backend) draws the chart locally.,3.75,v2,,3.75,"Turning pasted tables and time series into a shareable chart is a frequent, offline-friendly task.",cyberchef,npm=0;wiki=0;stack=0;github=262,4,4,4,3,unknown,no crate/model referenced
pdf-rotate,utility,Rotates or reorders pages within a PDF.,Rotate every page in this PDF 90 degrees,S,plain Rust→WASM (lopdf) page attribute edits.,3.75,both,3,3.75,Common quick fix bundled into PdfEscape-style editors.,awesome,npm=0;wiki=0;stack=0;github=0,5,3,4,3,unknown,no crate/model referenced
readability-extractor,web,"Extracts the main article content from cluttered pasted HTML, stripping nav, ads and boilerplate.",clean this page HTML down to just the article text,M,plain Rust→WASM runs a Readability-style heuristic over the parsed DOM locally.,3.75,v2,,3.75,PrintWhatYouLike demand maps to decluttering page content for reading or printing.,awesome,npm=3060;wiki=0;stack=0;github=1136,3,3,5,4,unknown,no crate/model referenced
readable-article,web,"Strips navigation, ads, and clutter from pasted article HTML to produce a clean reader/print view.",Clean up this article HTML so it's print friendly,M,plain Rust→WASM — html5ever plus a readability heuristic extracts the main content locally.,3.75,v2,,3.75,"Print Friendly's core value is decluttering, which is a deterministic HTML transform that runs in-browser.",awesome,npm=0;wiki=0;stack=0;github=210,3,4,5,3,unknown,no crate/model referenced
resume-builder,utility,"Turns structured details (contact, experience, skills) into a clean, ATS-friendly Markdown resume.","Build a resume from this info: name, 3 jobs, skills... <details>",M,plain Rust→WASM templating of user-supplied fields into formatted text; fully offline.,3.75,v2,,3.75,Maps Resume Nation to a deterministic formatter that keeps a user's private CV data entirely on-device.,awesome,npm=29;wiki=0;stack=0;github=40118,4,4,3,4,unknown,no crate/model referenced
safelink-decoder,web,"Unwraps Outlook SafeLinks, Proofpoint, Google and other URL-rewrite wrappers to reveal the original destination.",decode this safelink: https://nam.safelinks.protection.outlook.com/?url=https%3A%2F%2Fexample.com,M,plain Rust→WASM — parses the wrapper query string and percent-decodes the embedded target; no navigation or fetch required.,3.75,v2,,3.75,Seeing the true destination of a rewritten link is a security-relevant task best done without actually visiting the URL.,awesome,npm=0;wiki=0;stack=0;github=0,3,4,5,3,unknown,no crate/model referenced
subtitle-translator,text,Translates the text lines of an .srt/.vtt subtitle file into another language while preserving timestamps.,Translate this .srt file from English to Spanish. <srt>,L,plain Rust parses the cues offline; transformers-js translates each line in-browser via WASM/WebGPU.,3.75,v2,,3.75,"Maps the dubbing/translation reading of Dub into a concrete, fully-local localization tool.",awesome,npm=0;wiki=0;stack=0;github=912,4,3,4,4,unknown,no crate/model referenced
toxicity-classifier,text,Scores text for toxicity/harassment likelihood with a small classification model.,how toxic is this message: 'you always ruin everything',M,transformers-js runs a small toxic-comment classifier fully in the browser.,3.75,v2,,3.75,A model-based companion to the wordlist filter for nuanced 'word safety' checks.,awesome,npm=0;wiki=0;stack=0;github=1235,4,3,4,4,unknown,no crate/model referenced
trim-audio,audio,Extracts or removes a time range from an audio file to keep just the part you want.,cut this mp3 to just the first 30 seconds,S,ffmpeg loader seeks and slices audio streams locally.,3.75,v2,,3.75,"Quick audio trims (ringtones, clips) are a high-frequency need.",omni-tools,npm=0;wiki=0;stack=0;github=494,4,3,4,4,unknown,no crate/model referenced
video-convert,video,"Converts video between mp4, webm, mov and mkv.",Convert this mov to mp4,M,ffmpeg WASM transcodes containers/codecs in the browser.,3.75,v2,,3.75,Container/codec conversion is a top VideoToolbox request and avoids slow uploads.,awesome,npm=0;wiki=0;stack=0;github=16897,5,3,4,3,unknown,no crate/model referenced
video-merge,video,Concatenates multiple video clips into one.,Join these clips into a single video,M,ffmpeg concat joins compatible streams locally in WASM.,3.75,v2,,3.75,Stitching clips is a core editing task and keeps large source files off any server.,awesome,npm=0;wiki=0;stack=0;github=2193,5,3,4,3,unknown,no crate/model referenced
video-mute,video,Removes the audio track from a video.,Mute this video,S,ffmpeg -an strips the audio stream client-side.,3.75,both,3,3.75,Muting is a quick VideoToolbox edit with no need to upload the file.,awesome,npm=0;wiki=0;stack=0;github=465,5,3,4,3,unknown,no crate/model referenced
video-resize,video,Scales a video to a target resolution.,Resize this video to 720p,S,ffmpeg scale filter rescales frames locally in WASM.,3.75,both,3,3.75,Resolution changes are routine for platform requirements and are cheap client-side.,awesome,npm=0;wiki=0;stack=0;github=847,5,3,4,3,unknown,no crate/model referenced
video-rotate,video,Rotates or flips a video.,Rotate this clip 90 degrees clockwise,S,ffmpeg transpose/hflip filters rotate frames in WASM.,3.75,both,3,3.75,Fixing sideways phone videos is a common annoyance solved instantly on-device.,awesome,npm=0;wiki=0;stack=0;github=440,5,3,4,3,unknown,no crate/model referenced
video-to-frames,image,Extracts still frames from a video at a chosen interval as PNGs.,Grab one frame per second from this clip as images,S,ffmpeg frame export runs locally and returns image buffers to the chat.,3.75,v2,,3.75,"Frame extraction feeds thumbnails, contact sheets, and ML datasets — common and offline-friendly.",awesome,npm=17;wiki=0;stack=0;github=3581,5,3,4,3,unknown,no crate/model referenced
audio-convert,audio,"Converts audio between mp3, wav, ogg, flac, and m4a.",Convert this wav file to mp3,S,ffmpeg handles all codecs in its WASM build with no network round-trip.,3.5,both,4,3.5,Format conversion is the backbone of the File-Converters and Music categories.,awesome,npm=0;wiki=0;stack=0;github=13775,4,3,4,3,unknown,no crate/model referenced
audio-normalize,audio,Levels an audio file to a standard loudness so volume is consistent.,Normalize the loudness of this podcast episode,M,ffmpeg loudnorm (EBU R128) filter computes and applies gain locally.,3.5,both,3,3.5,Podcasters and musicians need consistent loudness and currently rely on paid web tools.,awesome,npm=0;wiki=0;stack=0;github=539,4,3,4,3,unknown,no crate/model referenced
audio-silence-remove,audio,Strips long silent gaps out of a recording.,Remove the dead air from this voice memo,M,ffmpeg silenceremove filter detects and cuts silence locally.,3.5,both,3,3.5,Voice-memo and podcast cleanup is repetitive manual work this automates privately.,awesome,npm=0;wiki=0;stack=0;github=108,4,3,4,3,unknown,no crate/model referenced
audio-to-mono,audio,Downmixes stereo or multi-channel audio to a single mono channel.,convert this stereo file to mono,S,ffmpeg (wasm): channel downmix is a local re-encode in the browser.,3.5,v2,,3.5,Mono conversion is a standard prep step for speech and embedded-device audio.,omni-tools,npm=0;wiki=0;stack=0;github=180,4,2,4,4,unknown,no crate/model referenced
audio-volume-adjust,audio,Increases or decreases the gain of an audio file by a specified dB or factor.,make this recording 6 dB louder,S,ffmpeg (wasm): the volume filter re-encodes locally with no upload.,3.5,v2,,3.5,Quiet recordings are extremely common and a one-shot gain bump is a frequent request.,omni-tools,npm=0;wiki=0;stack=0;github=353,4,2,4,4,unknown,no crate/model referenced
basic-auth-header-generator,dev,Builds an HTTP Basic Authorization header value from a username and password.,make a basic auth header for user admin password s3cret,S,"plain Rust→WASM — concatenate and Base64-encode credentials; deterministic and offline, keeping secrets off any network.",3.5,v2,,3.5,"Credentials should never be pasted into an online generator, so a local tool is both convenient and safer.",awesome,npm=0;wiki=0;stack=0;github=3,5,3,3,3,unknown,no crate/model referenced
burn-subtitles,video,Hard-burns an SRT subtitle file onto a video.,Burn these subtitles into the video,M,ffmpeg subtitles filter renders the captions onto frames locally.,3.5,both,4,3.5,Burned-in captions are required for social video and avoid uploading the source clip.,awesome,npm=0;wiki=0;stack=0;github=174,5,2,4,3,unknown,no crate/model referenced
censor-text,text,Redacts a supplied list of words (or common profanity) by masking them with asterisks.,censor the swear words in this comment,S,"plain Rust→WASM tokenize-and-mask; local CPU, no model required",3.5,v2,,3.5,Quick redaction before sharing screenshots/quotes is a real privacy chore.,omni-tools,npm=0;wiki=0;stack=0;github=207,4,3,3,4,unknown,no crate/model referenced
correlation-heatmap,data,Computes a Pearson/Spearman correlation matrix across numeric CSV columns and renders it as a labeled heatmap.,Show me a correlation heatmap of the numeric columns in this dataset,M,"plain Rust→WASM computes correlations and renders SVG entirely in-memory, so it runs client-side on the wasmi runtime.",3.5,v2,,3.5,Correlation heatmaps are a staple of exploratory data analysis and require no external libraries beyond basic stats.,cyberchef,npm=0;wiki=0;stack=0;github=1277,4,3,4,3,unknown,no crate/model referenced
create-zip,utility,Bundles multiple uploaded files into a single downloadable ZIP archive.,Zip these three files together for me,M,plain Rust→WASM via the zip crate's writer assembling the archive in memory.,3.5,v2,,3.5,"Simple, frequently-wanted utility that complements the extract tools and needs no backend.",cyberchef,npm=0;wiki=0;stack=0;github=2551,4,4,4,2,yes,found crate:zip
csv-change-delimiter,data,"Re-saves a CSV with a different separator (comma, tab, semicolon, pipe) and proper requoting.",change this csv to use semicolons,S,"plain Rust→WASM CSV parse and re-serialize, no network.",3.5,v2,,3.5,Delimiter mismatches between tools are a constant source of import errors.,omni-tools,npm=0;wiki=0;stack=0;github=24,3,3,4,4,unknown,no crate/model referenced
csv-dedupe,data,"Removes duplicate rows from a CSV, optionally keyed on chosen columns.",Remove duplicate rows from this CSV,S,plain Rust→WASM hashing and row comparison.,3.5,v2,,3.5,A frequent spreadsheet cleanup task that EtherCalc users hit constantly.,awesome,npm=0;wiki=0;stack=0;github=71,4,3,4,3,unknown,no crate/model referenced
csv-filter,data,Filters CSV rows by a conditional expression over column values.,Keep only rows where amount > 100 and status == 'paid',M,plain Rust→WASM expression evaluator over parsed rows; fully in-memory.,3.5,v2,,3.5,Conditional row selection is a core spreadsheet operation that's clumsy without formulas.,cyberchef,npm=0;wiki=0;stack=0;github=4950,4,3,4,3,unknown,no crate/model referenced
csv-formula-eval,data,Evaluates spreadsheet-style formulas to add or transform CSV columns.,Add a column equal to price times quantity to this CSV,M,plain Rust→WASM expression engine; all evaluation in-WASM.,3.5,v2,,3.5,Formula evaluation is EtherCalc's whole reason to exist.,awesome,npm=0;wiki=0;stack=0;github=0,4,3,4,3,unknown,no crate/model referenced
csv-group-by,data,"Groups CSV rows by a chosen column and aggregates others (count, sum, average) per group.",group this csv by category and sum the amount,M,"plain Rust→WASM CSV parse and aggregation, fully local.",3.5,v2,,3.5,Group-and-aggregate is the most common spreadsheet-style summarization.,omni-tools,npm=0;wiki=0;stack=0;github=404,3,3,4,4,unknown,no crate/model referenced
csv-group-split,data,"Forks one CSV into multiple files, one per distinct value in a chosen key column.",Split this orders.csv into one file per country column,M,"plain Rust→WASM CSV parse + group-by; deterministic in-memory partitioning, no backend.",3.5,v2,,3.5,Per-segment exports are a frequent spreadsheet chore that's tedious to do by hand.,cyberchef,npm=0;wiki=0;stack=0;github=47,4,3,4,3,unknown,no crate/model referenced
csv-insert-column,data,"Adds a new column to a CSV at a chosen position, filled with a constant or a per-row template.",add an id column to this csv,S,"plain Rust→WASM CSV parse and rewrite, no server.",3.5,v2,,3.5,Inserting columns is a common pre-processing step before import.,omni-tools,npm=0;wiki=0;stack=0;github=52,3,3,4,4,unknown,no crate/model referenced
csv-merge,data,Concatenates or key-joins multiple CSV files into a single unified table.,"Merge these three monthly CSVs into one, matching on the email column",M,plain Rust→WASM CSV parse + join/union in memory; entirely browser-local.,3.5,v2,,3.5,Combining exports from different sources is one of the most common spreadsheet pains.,cyberchef,npm=26;wiki=0;stack=0;github=2426,4,3,4,3,unknown,no crate/model referenced
csv-pivot,data,Builds a pivot table that groups and aggregates a CSV.,Pivot this CSV: sum sales by region,M,plain Rust→WASM grouping and aggregation.,3.5,both,3,3.5,Pivoting is the most-wanted advanced spreadsheet operation.,awesome,npm=0;wiki=0;stack=0;github=0,4,3,4,3,unknown,no crate/model referenced
csv-query,data,"Runs SQL-style SELECT, filter, and aggregate queries over CSV data.",Select rows where amount > 100 from this CSV,M,plain Rust→WASM in-memory query engine.,3.5,v2,,3.5,Turns a flat sheet into a queryable dataset entirely client-side.,awesome,npm=51;wiki=0;stack=0;github=0,4,3,4,3,unknown,no crate/model referenced
csv-to-tsv,data,"Converts CSV text into tab-separated values, correctly handling quoted fields and embedded delimiters.",convert this CSV to TSV,S,"plain Rust→WASM — RFC-4180 CSV parse + TSV emit is pure string/state-machine work with no network, runs entirely in the wasmi sandbox.",3.5,v2,,3.5,Direct hit on a common spreadsheet-export conversion that people currently paste into sketchy online converters.,omni-tools,npm=0;wiki=0;stack=0;github=482,3,3,4,4,no,"not found: RFC-4180, string/state-machine"
decrypt-file,utility,Decrypts a passphrase-encrypted file produced by the encrypt-file tool.,Decrypt this encrypted file with my password,S,plain Rust→WASM — AES-GCM decryption runs entirely client-side.,3.5,v2,,3.5,"The necessary counterpart to encrypt-file, completing a private, serverless Firefox-Send-style exchange.",awesome,npm=0;wiki=0;stack=0;github=8743,5,3,3,3,unknown,no crate/model referenced
detect-file-type,utility,Identifies a file's true format by inspecting its magic bytes and header structure regardless of the extension.,What kind of file is this actually? Detect its real type.,S,Plain Rust→WASM; magic-byte signature matching is pure byte inspection with no network or system calls.,3.5,v2,,3.5,"Mislabeled extensions and file-type confusion are everywhere, and a private offline sniffer is broadly useful.",cyberchef,npm=20801;wiki=0;stack=0;github=706,4,3,4,3,unknown,no crate/model referenced
extract-audio-from-video,audio,Pulls the audio track out of a video file as MP3 or WAV.,Extract the audio from this mp4 as an mp3,S,ffmpeg demuxes and re-encodes the audio stream in-browser via the WASM build.,3.5,v2,,3.5,Common 'rip the audio' task that keeps private media off any server.,awesome,npm=0;wiki=0;stack=0;github=0,5,3,4,2,unknown,no crate/model referenced
extract-pdf-images,image,Extracts the embedded raster images from a PDF and returns them as downloadable PNG/JPEG files.,extract all images from this PDF,M,plain Rust→WASM — pulls image XObjects from the object graph and decodes them with the pure-Rust image crate; no page rasterization or server needed.,3.5,v2,,3.5,"Maps extract-images-from-pdf using only structural extraction, which is reliably feasible browser-local.",omni-tools,npm=139;wiki=0;stack=0;github=0,4,2,4,4,yes,found crate:image
extract-tar,utility,"Lists and extracts files from tar, tar.gz and tgz archives in the browser.",Extract this tar.gz and list the files,M,plain Rust→WASM via tar + flate2/miniz_oxide; decompression runs locally.,3.5,v2,,3.5,Windows users especially lack an easy tar.gz opener and won't want to upload archives.,cyberchef,npm=19;wiki=0;stack=0;github=547,4,3,4,3,unknown,no crate/model referenced
file-encryptor,utility,Password-encrypts and decrypts an entire file with authenticated AES-GCM.,Encrypt this PDF with a password,M,Plain Rust→WASM AES-GCM over the file bytes locally; nothing is uploaded.,3.5,v2,,3.5,The same privacy demand as the text encryptors extends to whole files people want protected before sharing.,awesome,npm=4254;wiki=0;stack=0;github=1921,5,3,2,4,unknown,no crate/model referenced
file-hash,utility,"Computes MD5, SHA-1, and SHA-256 checksums of any file for integrity checks and threat-intel lookups.",What's the SHA-256 hash of this file?,S,Plain Rust→WASM with pure-Rust hash crates; hashing runs over the local buffer.,3.5,v2,,3.5,"Hashing is core to file verification and matching indicators of compromise, and needs to be exact and offline.",cyberchef,npm=67;wiki=0;stack=0;github=11108,4,3,4,3,unknown,no crate/model referenced
file-splitter,data,Splits a large text or CSV file into N equal parts or fixed-size chunks.,Split this 50MB CSV into 5 separate files,S,plain Rust→WASM slices the buffer on line/size boundaries; all client-side memory ops.,3.5,v2,,3.5,"Many upload tools and importers cap file size, so a private local splitter saves real friction.",cyberchef,npm=28;wiki=0;stack=0;github=6463,4,3,4,3,unknown,no crate/model referenced
file-to-data-uri,dev,Encodes a small file as a self-contained base64 data: URI for inline embedding.,Turn this small image into a data URI,S,plain Rust→WASM — base64 encoding plus MIME detection is a trivial local transform.,3.5,v2,,3.5,Self-contained inline assets are the serverless answer to RGhost/EFShare hotlinking and are instant to generate.,awesome,npm=0;wiki=0;stack=0;github=113,4,3,4,3,unknown,no crate/model referenced
find-replace,text,"Finds and replaces text using literal or regular-expression matching, with case and global options.",replace all 'foo' with 'bar' in this text,M,plain Rust→WASM with the regex crate; matching and substitution run locally.,3.5,v2,,3.5,Bulk find/replace is one of the most universally requested text operations.,cyberchef,npm=26390383;wiki=0;stack=0;github=3466,3,4,4,3,yes,found crate:regex
generate-rsa-key-pair,dev,Generates an RSA key pair of a chosen size (2048/3072/4096) and outputs PEM public and private keys.,Generate a 2048-bit RSA key pair,M,plain Rust→WASM via the rsa crate; the new private key is created inside the sandbox and never sent anywhere.,3.5,v2,,3.5,"Generating RSA keys without installing OpenSSL is broadly useful, and locality is essential for private-key safety.",cyberchef,npm=0;wiki=0;stack=0;github=184,5,3,4,2,yes,found crate:rsa
